,total
2021-02-03,43.75764162477924
2021-02-04,37.81897790244236
2021-02-05,68.87530824488046
2021-02-06,87.4176181193725
2021-02-07,96.61572052401746
2021-02-08,30.575921058698757
2021-02-09,26.80049436350698
2021-02-10,41.91950240480237
2021-02-11,43.69821194941125
2021-02-12,44.67024393956692
2021-02-13,161.7012533388124
2021-02-14,215.32596857009491
2021-02-15,52.23669753570868
2021-02-16,48.71425138187935
2021-02-17,53.27017368902186
2021-02-18,71.55057379236722
2021-02-19,70.55244585057191
2021-02-20,213.19926279271465
2021-02-21,237.7809694793537
2021-02-22,59.148826633489215
2021-02-23,79.65962528924386
2021-02-24,79.09557846341725
2021-02-25,90.50545094152626
2021-02-26,157.85101677544634
2021-02-27,415.9127495170638
2021-02-28,324.14154103852593
2021-03-01,68.4164512695758
2021-03-02,64.39079207246475
2021-03-03,48.66653457499505
2021-03-04,62.2224023342519
2021-03-05,85.91200341734302
2021-03-06,154.64006498121637
2021-03-07,238.06742323097464
2021-03-08,66.86700907004699
2021-03-09,117.15904868078782
2021-03-10,41.80130758247539
2021-03-11,70.85799446455184
2021-03-12,72.58251526629049
2021-03-13,165.11789181692095
2021-03-14,152.57985257985257
2021-03-15,59.154929577464785
2021-03-16,68.26877354694759
2021-03-17,61.97309119830329
2021-03-18,53.83128804715432
2021-03-19,94.7757991847243
2021-03-20,134.63222074572033
2021-03-21,119.9313729107479
2021-03-22,80.68927613074261
2021-03-23,74.92961310936067
2021-03-24,73.33828084667012
2021-03-25,63.5153711572107
2021-03-26,49.58850088586615
2021-03-27,121.48902244572551
2021-03-28,117.35302894658311
2021-03-29,108.21609632446135
2021-03-30,201.92410475681456
2021-03-31,148.38529444630686
2021-04-01,142.077993988293
2021-04-02,140.6103629976581
2021-04-03,165.43986526649493
2021-04-04,279.4890205229462
2021-04-05,100.37319116527037
2021-04-06,86.89447395544279
2021-04-07,76.74196323318571
2021-04-08,87.12118740825315
2021-04-09,110.29189825891707
2021-04-10,118.65994603126113
2021-04-11,149.57901867802187
2021-04-12,92.49287609315122
2021-04-13,91.52779544587203
2021-04-14,82.72510046703594
2021-04-15,71.21940438698272
2021-04-16,92.88628604735074
2021-04-17,111.32298169228348
2021-04-18,99.24780841237798
2021-04-19,85.04958701306124
2021-04-20,101.3637685373655
2021-04-21,86.82737713519501
2021-04-22,93.16928671984984
2021-04-23,108.10913105188456
2021-04-24,245.69514605754446
2021-04-25,131.00504982794834
2021-04-26,77.53679550077779
2021-04-27,78.48262588431128
2021-04-28,57.56069026031003
2021-04-29,84.77701676635571
2021-04-30,102.29642102246265
2021-05-01,174.8492898743231
2021-05-02,133.5968554014663
2021-05-03,93.93365783306292
2021-05-04,64.32094801669537
2021-05-05,112.73098570503561
2021-05-06,95.93701123275984
2021-05-07,91.7074037863301
2021-05-08,87.99936525568295
2021-05-09,108.16015252621544
2021-05-10,69.80584090786856
2021-05-11,77.06904027136626
2021-05-12,81.34536802358662
2021-05-13,64.37319316688568
2021-05-14,105.91991890522048
2021-05-15,102.41445072145659
2021-05-16,66.41915441733596
2021-05-17,58.31327998209189
2021-05-18,67.18964839913572
2021-05-19,73.23270251326724
2021-05-20,65.90947949488289
2021-05-21,57.61876388061319
2021-05-22,90.6872936284701
2021-05-23,82.74623932270013
2021-05-24,75.5023239184841
2021-05-25,84.90793931359552
2021-05-26,104.05479629091144
2021-05-27,95.94068534548994
2021-05-28,84.40210215652264
2021-05-29,122.31741538155903
2021-05-30,141.16784827544947
2021-05-31,142.06838716658552
2021-06-01,143.48239771646053
2021-06-02,121.2729784294974
2021-06-03,123.2938746325574
2021-06-04,90.4496186270574
2021-06-05,213.32472857034395
2021-06-06,142.18631047131288
2021-06-07,295.9993949935718
2021-06-08,129.9928989881058
2021-06-09,183.49703741997055
2021-06-10,167.3223253690458
2021-06-11,131.20390910726064
2021-06-12,200.66311085483636
2021-06-13,187.37769461661404
2021-06-14,105.89600500678003
2021-06-15,148.13893244256596
2021-06-16,133.00716354214296
2021-06-17,78.49609786964776
2021-06-18,49.39383624414129
2021-06-19,97.15826249621745
2021-06-20,93.86253121303719
2021-06-21,52.774065047042484
2021-06-22,92.6510441575004
2021-06-23,106.89567235355622
2021-06-24,97.6554165454369
2021-06-25,98.50153137418685
2021-06-26,129.7769028871391
2021-06-27,88.12442217649338
2021-06-28,73.29628772092305
2021-06-29,74.22606876218555
2021-06-30,84.20652824455595
2021-07-01,93.43987685621151
2021-07-02,100.01906214258483
2021-07-03,117.6628409599046
2021-07-04,109.62385631989156
2021-07-05,77.3728576158097
2021-07-06,58.28558836491846
2021-07-07,90.22296411112436
2021-07-08,90.93472131858599
2021-07-09,95.14686476711793
2021-07-10,111.3118881118881
2021-07-11,149.7274114996002
2021-07-12,66.19307272866908
2021-07-13,88.60230045311955
2021-07-14,98.73274659741259
2021-07-15,113.80856839372122
2021-07-16,167.89363632777054
2021-07-17,166.1864926843448
2021-07-18,140.1955409356725
2021-07-19,93.34487021013597
2021-07-20,89.11500778317004
2021-07-21,105.26164943036613
2021-07-22,118.42856775322237
2021-07-23,138.82635882635884
2021-07-24,184.90422620857402
2021-07-25,64.77535656317988
2021-07-26,86.44931600380404
2021-07-27,133.8066185986319
2021-07-28,69.12051945309614
2021-07-29,105.16803736419942
2021-07-30,72.68065760955754
2021-07-31,89.85261208426576
